last_name,first_name,score
Chychrun,Jakob,1.2962232985708393
Lehkonen,Artturi,1.2943237859406511
Merrill,Jon,1.2932116980315185
Ovechkin,Alex,1.2916702886752318
Pettersson,Elias,1.2908516240888275
Cizikas,Casey,1.2904833474545738
Rielly,Morgan,1.2833266897592694
Orlov,Dmitry,1.2822924123727715
Silfverberg,Jakob,1.2815138236619532
Brassard,Derick,1.2814409315993547
Dumoulin,Brian,1.275831383350305
Savard,David,1.27369992097374
Johnson,Jack,1.2730901279137472
Maatta,Olli,1.27200717573287
Paul,Nick,1.2694189769739752
Lemieux,Brendan,1.2683674295141822
Kane,Evander,1.2676191811857282
Hamonic,Travis,1.2673109303461387
Raffl,Michael,1.2644076611031778
Heiskanen,Miro,1.2640310007729563
Blais,Sammy,1.2525671637617055
Shore,Nick,1.2467107673990543
Greenway,Jordan,1.246493520290824
Svechnikov,Andrei,1.2458895315183331
Stecher,Troy,1.244352285709465
Stephenson,Chandler,1.241346479265485
Crouse,Lawson,1.2396515934728087
Meier,Timo,1.2381507189362309
Suzuki,Nick,1.2366419263766149
Kulikov,Dmitry,1.235941750812344
Siegenthaler,Jonas,1.2349301973939868
Konecny,Travis,1.2275386493653055
Boychuk,Johnny,1.2246881896688135
Hronek,Filip,1.2230152022792025
Werenski,Zach,1.2222439401492013
Myers,Tyler,1.2211865238845352
McCabe,Jake,1.2156835509114894
Namestnikov,Vladislav,1.2149571468587965
Kassian,Zack,1.2148590396856886
Roy,Matt,1.2146364335785622
Engelland,Deryk,1.2128643145551905
Point,Brayden,1.212281896255445
Pelech,Adam,1.209511183691211
Mantha,Anthony,1.2089545869850553
Provorov,Ivan,1.2074871126562357
Marino,John,1.2052985010494013
Tkachuk,Matthew,1.2041280786506827
Foligno,Marcus,1.2034496092237532
Carlson,John,1.1972561432397926
Brodie,TJ,1.1937020847981334
Pastrnak,David,1.1929796228359921
Lafferty,Sam,1.1927142819855363
Theodore,Shea,1.192620298778638
Spurgeon,Jared,1.1902833046391603
Letang,Kris,1.1900363949767778
Aston-Reese,Zach,1.184811585582793
Niskanen,Matt,1.1808890302374493
Moore,Trevor,1.1789911111467517
Johnson,Erik,1.1782525506161619
Mittelstadt,Casey,1.1778495845152064
Huberdeau,Jonathan,1.176563787146006
Dowd,Nic,1.1752118581847755
Holl,Justin,1.1747022316092626
Ennis,Tyler,1.1729041055048584
Sobotka,Vladimir,1.1706812392803843
Kotkaniemi,Jesperi,1.1612763574114071
Hall,Taylor,1.161171122454107
Khaira,Jujhar,1.1606467611796687
Ellis,Ryan,1.157574053783901
Schultz,Justin,1.1563444922096093
Sheahan,Riley,1.1558409176010176
Pulock,Ryan,1.1541807799541852
Karlsson,Erik,1.151978404575493
Demers,Jason,1.1505791009141833
Lucic,Milan,1.149395095283399
Boyle,Brian,1.1488913437467996
Pearson,Tanner,1.1488774925994218
Klingberg,John,1.147430708160391
Mayfield,Scott,1.1464619814127217
Fowler,Cam,1.1430879761115644
Pietrangelo,Alex,1.1411056293116422
Green,Mike,1.1384170924837236
Roslovic,Jack,1.1356158720096572
White,Colin,1.1344772281765472
Dahlin,Rasmus,1.1338195607531818
Gourde,Yanni,1.1331987090990883
Trocheck,Vincent,1.132426182745257
Neal,James,1.1319059893721712
Hanifin,Noah,1.1274927356804254
Fabbro,Dante,1.1268807962303984
Malgin,Denis,1.1267764502670616
Faulk,Justin,1.1257703914132433
Turris,Kyle,1.1236476957798003
Skjei,Brady,1.1226515981310512
Brown,Dustin,1.1191604122635912
Keith,Duncan,1.117850866069784
Carlo,Brandon,1.1166360750154125
Lindell,Esa,1.115656050801044
Braun,Justin,1.1145817526557946
Grzelcyk,Matt,1.112304293207126
Bear,Ethan,1.110282997012837
Graves,Ryan,1.1082020740024747
Clifford,Kyle,1.1053714295499961
Bjorkstrand,Oliver,1.1042038074228915
Hajek,Libor,1.1035660368797837
Mete,Victor,1.0976119797211141
Schwartz,Jaden,1.0971413286635654
Clifton,Connor,1.09654633848113
Connolly,Brett,1.0949885908921715
Jankowski,Mark,1.0944773653347513
Marchand,Brad,1.0920916390081405
Shattenkirk,Kevin,1.0914697411237284
Chara,Zdeno,1.0887499882781413
Hornqvist,Patric,1.0871931965753903
Stralman,Anton,1.085539321121178
Hinostroza,Vinnie,1.0816356047987936
Glass,Cody,1.0814946805534422
Pesce,Brett,1.0813852220831903
Zadorov,Nikita,1.0811618670006284
Perron,David,1.0789287201012485
Brodin,Jonas,1.078182969643967
Sergachev,Mikhail,1.0773805660079232
Keller,Clayton,1.0763133699190803
Seabrook,Brent,1.075682423077524
Guentzel,Jake,1.073664868396008
Simmonds,Wayne,1.073180338484235
Miller,Colin,1.0727869487600403
Bailey,Josh,1.07231998211937
Fischer,Christian,1.071540658583399
Ritchie,Nick,1.0713295719935558
Necas,Martin,1.0682863194495438
Gardiner,Jake,1.066748325852677
Watson,Austin,1.0647700742236337
Andersson,Lias,1.0634258959558793
Bertuzzi,Tyler,1.0575189186172795
Jensen,Nick,1.0573523682600354
Zibanejad,Mika,1.056170701532392
Abdelkader,Justin,1.0553886028588748
Rooney,Kevin,1.0553169269289358
Vatrano,Frank,1.0549397290858906
Calvert,Matt,1.054535171919269
Nemeth,Patrik,1.0493673729244621
Hartman,Ryan,1.048782563919667
Laine,Patrik,1.0487819107307585
Haas,Gaetan,1.0465809557237664
Glendening,Luke,1.0446085069968831
Armia,Joel,1.042451293184422
Cole,Ian,1.041421050013741
Makar,Cale,1.041039712470956
Zacha,Pavel,1.0407411576423327
Kapanen,Kasperi,1.0389881730661725
Gavrikov,Vladislav,1.0365098271053286
Benn,Jordie,1.034356000009575
