first_player,second_player,faceoffs_together_count
Jack Eichel,Sidney Crosby,7
Elias Lindholm,Nick Bonino,7
Mark Scheifele,Tyler Seguin,7
Pierre-Edouard Bellemare,Tyler Seguin,7
Nathan MacKinnon,Tyler Seguin,7
Lars Eller,Tyler Seguin,7
Andrew Copp,Brock Nelson,7
Jack Eichel,Casey Cizikas,7
Claude Giroux,Casey Cizikas,7
Nicklas Backstrom,Casey Cizikas,7
Ryan O'Reilly,Derek Stepan,7
Mikael Backlund,Derek Stepan,7
Leon Draisaitl,Derek Stepan,7
T.J. Oshie,Frederik Gauthier,7
Eric Staal,Erik Haula,7
Anze Kopitar,Erik Haula,7
Vincent Trocheck,Erik Haula,7
Aleksander Barkov,Erik Haula,7
Anthony Cirelli,Erik Haula,7
Max Domi,Erik Haula,7
Bo Horvat,Kevin Hayes,7
Aleksander Barkov,Justin Abdelkader,7
Aleksander Barkov,Dylan Larkin,7
Ryan Johansen,Luke Glendening,7
Claude Giroux,Riley Sheahan,7
Jordan Staal,Johan Larsson,7
Steven Stamkos,Johan Larsson,7
Nicklas Backstrom,Johan Larsson,7
Christian Dvorak,Mika Zibanejad,7
Connor McDavid,Mika Zibanejad,7
Brayden Point,Filip Chytil,7
Patrice Bergeron,Jonathan Marchessault,7
Logan Couture,Jonathan Marchessault,7
Derek Stepan,Chris Tierney,7
William Karlsson,Chris Tierney,7
Nathan MacKinnon,Joe Pavelski,7
Ryan Getzlaf,Tomas Hertl,7
Jordan Staal,Tomas Hertl,7
Yanni Gourde,Patrice Bergeron,7
Tyler Seguin,Patrice Bergeron,7
Auston Matthews,David Krejci,7
Nathan MacKinnon,Noel Acciari,7
Adam Henrique,Valtteri Filppula,7
Ryan Nugent-Hopkins,Nico Hischier,7
Mikael Backlund,Nico Hischier,7
Sebastian Aho,Nico Hischier,7
Casey Cizikas,Jean-Gabriel Pageau,7
Christian Dvorak,Jean-Gabriel Pageau,7
John Tavares,Jean-Gabriel Pageau,7
Brandon Sutter,Jacob de la Rose,7
Sebastian Aho,Chandler Stephenson,7
Derick Brassard,Vincent Trocheck,7
Brayden Schenn,J.T. Compher,7
Steven Stamkos,Ryan Johansen,7
Radek Faksa,Chris Tierney,6
Tyler Seguin,Chris Tierney,6
Mikael Backlund,Joe Pavelski,6
Sean Monahan,Joe Pavelski,6
Eric Staal,Joe Pavelski,6
Ryan O'Reilly,Joe Pavelski,6
Ryan Getzlaf,Logan Couture,6
Ryan Nugent-Hopkins,Logan Couture,6
Chris Tierney,Logan Couture,6
Sean Monahan,Logan Couture,6
Luke Kunin,Tomas Hertl,6
Mikko Koivu,Tomas Hertl,6
Nick Shore,Patrice Bergeron,6
Ryan Getzlaf,Patrice Bergeron,6
Derek Grant,Patrice Bergeron,6
Derek Stepan,Patrice Bergeron,6
Brad Richardson,Patrice Bergeron,6
Radek Faksa,Patrice Bergeron,6
David Krejci,Noel Acciari,6
Derek Grant,Valtteri Filppula,6
David Krejci,Valtteri Filppula,6
Nick Bonino,Valtteri Filppula,6
Brandon Sutter,Valtteri Filppula,6
Claude Giroux,Blake Coleman,6
Evgeni Malkin,Nico Hischier,6
Connor McDavid,Nico Hischier,6
Derek Stepan,Nico Hischier,6
Tyler Bozak,Derick Brassard,6
Carl Soderberg,Jean-Gabriel Pageau,6
Brad Richardson,Jean-Gabriel Pageau,6
Mikko Koivu,Jean-Gabriel Pageau,6
Brayden Schenn,Jean-Gabriel Pageau,6
Ryan Nugent-Hopkins,Jacob de la Rose,6
Auston Matthews,Jacob de la Rose,6
Matt Duchene,Chandler Stephenson,6
Adam Lowry,Vincent Trocheck,6
Brock Nelson,Vincent Trocheck,6
Pavel Zacha,Vincent Trocheck,6
Marcus Johansson,Vincent Trocheck,6
Sebastian Aho,Vincent Trocheck,6
Yanni Gourde,Vincent Trocheck,6
Anthony Cirelli,Vincent Trocheck,6
Bo Horvat,Jonathan Huberdeau,6
Pierre-Edouard Bellemare,Ryan Johansen,6
Ryan Strome,Sean Kuraly,6
Brayden Point,Sean Kuraly,6
Nick Bonino,Adam Gaudette,6
Nick Bjugstad,Casey Mittelstadt,6
Pavel Zacha,Casey Mittelstadt,6
Jordan Staal,Brady Tkachuk,6
Casey Cizikas,Brady Tkachuk,6
Boone Jenner,Gaetan Haas,6
Carl Soderberg,Cody Glass,6
Steven Stamkos,Brett Howden,6
Charlie Coyle,Brett Howden,6
Dylan Strome,Teddy Blueger,6
Nathan MacKinnon,Teddy Blueger,6
Eric Staal,Teddy Blueger,6
Jack Eichel,Teddy Blueger,6
Mikko Koivu,Roope Hintz,6
Adam Henrique,Roope Hintz,6
Jean-Gabriel Pageau,Roope Hintz,6
Lucas Wallmark,Sam Steel,6
Patrice Bergeron,Sam Steel,6
Brad Richardson,Sam Steel,6
Jared McCann,Jack Hughes,6
Teddy Blueger,Jack Hughes,6
Cedric Paquette,Jack Hughes,6
Dylan Larkin,Blake Lizotte,6
Max Domi,Blake Lizotte,6
Brandon Sutter,Blake Lizotte,6
Adam Gaudette,Blake Lizotte,6
Cole Bardreau,Mikhail Vorobyev,6
Lias Andersson,Eetu Luostarinen,6
Andrew Copp,Derek Stepan,6
Eric Staal,Brad Richardson,6
Nazem Kadri,Brad Richardson,6
Boone Jenner,Christian Dvorak,6
Phillip Danault,Christian Dvorak,6
Riley Nash,Brayden Schenn,6
Jay Beagle,Brayden Schenn,6
Evgeni Malkin,Travis Zajac,6
Leon Draisaitl,Travis Zajac,6
Claude Giroux,Travis Zajac,6
Ryan Nugent-Hopkins,Travis Zajac,6
Boone Jenner,Oskar Sundqvist,6
Casey Cizikas,Anthony Cirelli,6
Marcus Johansson,Cedric Paquette,6
Brock Nelson,Steven Stamkos,6
Mikael Backlund,Radek Faksa,6
Nathan MacKinnon,Radek Faksa,6
Evgeny Kuznetsov,Connor McDavid,6
Lars Eller,Connor McDavid,6
Jeff Carter,Derek Ryan,6
Nick Schmaltz,Joel Eriksson Ek,6
Brad Richardson,Mikko Koivu,6
Jeff Carter,Mikko Koivu,6
Tyler Bozak,Mikko Koivu,6
Pierre-Edouard Bellemare,Mikko Koivu,6
Phillip Danault,Alexander Wennberg,6
Carl Soderberg,Alexander Wennberg,6
Jason Spezza,Alexander Wennberg,6
Jordan Staal,Alexander Wennberg,6
John Tavares,Alexander Wennberg,6
Bryan Little,William Karlsson,6
Max Domi,William Karlsson,6
Nazem Kadri,William Karlsson,6
Claude Giroux,William Karlsson,6
Boone Jenner,Auston Matthews,6
Derek Grant,Joe Thornton,6
Ryan Nugent-Hopkins,Joe Thornton,6
Eric Staal,Joe Thornton,6
Andrew Copp,Joe Thornton,6
Ryan Strome,Aleksander Barkov,6
Lars Eller,Aleksander Barkov,6
Nazem Kadri,Aleksander Barkov,6
Sebastian Aho,Aleksander Barkov,6
William Karlsson,Frederik Gauthier,6
Alexander Kerfoot,Charlie Coyle,6
Anthony Cirelli,Charlie Coyle,6
Tomas Hertl,Erik Haula,6
Max Domi,Adrian Kempe,6
Nick Bonino,Adrian Kempe,6
Patrice Bergeron,Kevin Hayes,6
Erik Haula,Frans Nielsen,6
William Karlsson,Dylan Larkin,6
Nick Bonino,Dylan Larkin,6
Mikael Backlund,Dylan Larkin,6
J.T. Miller,Luke Glendening,6
Jonathan Toews,Riley Sheahan,6
Evgeni Malkin,Johan Larsson,6
Derek Stepan,Mika Zibanejad,6
Lars Eller,Mika Zibanejad,6
Andrew Copp,Mika Zibanejad,6
Joe Thornton,Colton Sissons,6
Logan Couture,Colton Sissons,6
Frans Nielsen,Colton Sissons,6
Jonathan Toews,Paul Stastny,6
Lars Eller,Paul Stastny,6
Chris Tierney,Paul Stastny,6
Matt Duchene,Paul Stastny,6
Carl Soderberg,Paul Stastny,6
Logan Couture,Paul Stastny,6
Ryan Carpenter,Cody Eakin,6
Adam Henrique,Cody Eakin,6
Kyle Turris,Cody Eakin,6
Carl Soderberg,Nate Thompson,6
Eric Staal,Nate Thompson,6
Erik Haula,David Kampf,6
Sean Couturier,David Kampf,6
Claude Giroux,David Kampf,6
Kevin Hayes,David Kampf,6
Jared McCann,Jack Roslovic,6
Kevin Hayes,Colin White,6
Jordan Staal,Colin White,6
John Tavares,Colin White,6
Jonathan Toews,Barclay Goodrow,6
Patrice Bergeron,Barclay Goodrow,6
Jay Beagle,Dylan Strome,6
Cody Eakin,Michael Amadio,6
Ivan Barbashev,Michael Amadio,6
Mark Jankowski,Michael Amadio,6
Chris Tierney,Lucas Wallmark,6
Kevin Hayes,Lucas Wallmark,6
Derek Grant,Justin Dowling,6
Sam Gagner,Dylan Gambrell,6
Derek Grant,Bryan Little,6
Adam Henrique,Mark Scheifele,6
Derek Grant,Mark Scheifele,6
Jack Eichel,Jordan Staal,6
Jordan Staal,Eric Staal,6
Andrew Copp,Eric Staal,6
Jonathan Toews,Riley Nash,6
Ryan O'Reilly,Mikael Backlund,6
Carl Soderberg,Mikael Backlund,6
Sean Couturier,Mikael Backlund,6
