Player,embedding
Mark Scheifele,"[0.14695638358042953,0.09919181914996499,0.1440680347986135,0.11641089094593048,0.14288938246631017,0.09825161567862904,0.09911827194981913,0.16199950352688536,0.10528518597314113,0.1419729954315818,0.15697857046952066,0.14490900270315632,0.07049043711561348,0.09745133177780678,0.148129176205521,0.15144493661353842,0.0920348965330432,0.10049539881327835,0.07868800021021187,0.12465859222605041,0.08230850925160779,0.11631698323622931,0.11394180057978688,0.13212980553568673,0.15775240418935013,0.14513041624961032,0.1063198084116541,0.11335606644398848,0.09884926207146076,0.10588419203273207,0.07543665234673186,0.13490246965105665,0.09210094702206219,0.1101320031498427,0.15528862896804577,0.10687463816980901,0.16274589051406413,0.16245341110872807,0.13151195868306856,0.09475199768537075,0.16192153925408684,0.1630536277934357,0.13754605857137747,0.14348206232456293,0.13459011410601918,0.10870430338570251,0.08684611007825757,0.14865743952877908,0.11478051703997526,0.0735908508672547,0.17008870535835,0.09998908646400168,0.12554508224982106,0.14530122867789783,0.17227371694736723,0.09868380104815003,0.09830507625957303,0.10348141248830374,0.08425986753667415,0.07314345735507936,0.16498368748427797,0.11787436294124372,0.14971744784325827,0.09235495477418965]"
Adam Lowry,"[0.14698733141572692,0.0989534603949177,0.14392524058283498,0.11633236959658658,0.14273363844593673,0.09778795313144868,0.09897866566736802,0.16217364270143675,0.10512323092575719,0.14200776927358635,0.15713917380413311,0.14503079552027923,0.07033184675411414,0.09726112552747097,0.14801353323106634,0.15152790667045518,0.09212994800213306,0.10011375083118891,0.07854629698062947,0.12505435898215278,0.08210344172877396,0.11648720554356747,0.11411868286812162,0.13209932402610028,0.15806659449389196,0.14479174783893062,0.10621905775075278,0.11325914841606798,0.09887575400282106,0.10587409121568057,0.07515999628134208,0.1349312605976883,0.09199305627184748,0.1097946223794027,0.1553507868261137,0.10675762319775475,0.1626366367274011,0.1626368821232358,0.13183023195705396,0.09469348573160964,0.16204061004902928,0.16311250758197468,0.1375576480300948,0.1438412085587183,0.13495214014917156,0.1091469952937387,0.08644552868597628,0.14878899804677237,0.11477074546060462,0.07345963591574005,0.17032665832120356,0.10004182547580721,0.12541270156074644,0.14536646870717174,0.1723984416663282,0.09835254130628282,0.0981220149075705,0.10365499474924998,0.08386541923261218,0.07292003641629963,0.16491168299506218,0.11770974329640684,0.14990915731125162,0.09221453023686742]"
Joel Armia,"[0.14708311973853055,0.09932473202763696,0.14417743786625747,0.11636552822011426,0.14306111863687784,0.09842488670182366,0.09915109230301872,0.16180102350790435,0.10536772239802362,0.1419659198069851,0.15683597478533753,0.1448629680886897,0.0705263612967241,0.09750002227353834,0.14824597559662664,0.1513247294834177,0.0919122197738128,0.10073542083029836,0.078706282303932,0.1243815902254545,0.08241800675358492,0.11613934953556511,0.11377359152179928,0.1322385265659194,0.15764408938513066,0.14539817471167288,0.106338766968262,0.11339788504357262,0.09887430393999305,0.10585052692262703,0.07552018031753553,0.1349406389828423,0.09219673657063546,0.1103691681010029,0.1553042815783355,0.10697292257930639,0.16286938445786248,0.16229450539956952,0.13128188646050223,0.09479641856902142,0.1619610338173973,0.16302664264051928,0.137416636281418,0.14324742569479768,0.13428234748658915,0.10837925497073429,0.0870161772960872,0.1486151979335238,0.11476320510809383,0.07361226613988618,0.1698585098615125,0.09999200908717333,0.12559525462900323,0.14535256258762916,0.17226420312924626,0.09887712942382879,0.09841397531019398,0.10335654731738375,0.08448601710127374,0.07328536131359778,0.1650678149557642,0.11805508434047594,0.14965846370214,0.09249963266777926]"
Ben Chiarot,"[0.14698753214719643,0.09915761210660304,0.14405201687027444,0.11638359794002057,0.14288368048734598,0.09817047437519533,0.0990908042990651,0.16200475325333313,0.10526080902047297,0.14197761131331896,0.1569915351963725,0.14492936304280252,0.07045904014414126,0.09741379082450587,0.14812203149648592,0.15144392971430085,0.0920337266993171,0.1004471240575115,0.0786562499110668,0.1247033894212158,0.08227933823003447,0.11632512680308837,0.11395408211738904,0.1321425409524539,0.15781007260804525,0.14509576626118897,0.10629922978130676,0.11333863861167408,0.09886115142648956,0.10587551722514484,0.07538445954563835,0.13491647279564722,0.09209221576903334,0.11009349765856413,0.15530841493365224,0.10686372401779728,0.16274099754092597,0.16246831587492547,0.13154806291597404,0.09474714958256843,0.16195872830651453,0.1630633232799849,0.13752461589903803,0.14352789571173313,0.13462100766932839,0.10875284369019095,0.08677992434910663,0.14868198048112766,0.11477431968727501,0.07356309538502473,0.17010386061231147,0.10000356661431566,0.1255220005014897,0.1453267130559184,0.17230325201371213,0.09863917257701732,0.09828176888465005,0.1035028920242813,0.0842045842976739,0.07311573137727989,0.16498161792440835,0.11786780185698523,0.14975417758977624,0.09234781549694301]"
Joakim Nordstrom,"[0.14710169576575044,0.0993499019414933,0.14419623693542857,0.11635928712890381,0.14309008095235423,0.0984682318395615,0.09916047447248026,0.16176665709917726,0.10538537435635933,0.14195845992505515,0.1568099599136464,0.14485022712654327,0.07053811988603327,0.0975145317033561,0.14826471119133539,0.15130564816800754,0.09188737656091399,0.10078750271954288,0.07871160717577275,0.12432399552728282,0.0824440854632543,0.1161072368575325,0.11374471865711032,0.13225246778925012,0.15762040370330327,0.14544601002430932,0.10634619553698445,0.11340218947901035,0.09888074650421337,0.10584628189429234,0.07554340983616323,0.13494450834398217,0.09221584060116082,0.11041301683729124,0.1553073419274202,0.1069864922394498,0.16288699863155867,0.16226526769891267,0.13123938545091599,0.09480798480266048,0.1619635655084321,0.16302185023763754,0.1373971217652068,0.14320460772312468,0.13422362946297042,0.10831644876573301,0.08705562635899204,0.14860669192931952,0.11475737940938607,0.07362292827449937,0.169814708119343,0.09999237790633339,0.12560839714331454,0.1453573046877646,0.1722601852044655,0.09891691421082478,0.09843776476750768,0.10333873193275052,0.08453043531745429,0.07331688843955385,0.16507907210124348,0.11808876331302985,0.14964500848085127,0.09252854354963168]"
Jordan Staal,"[0.14694117455031647,0.09914791781843743,0.1440383399949553,0.1164082382529559,0.14284729829223924,0.09818652742084567,0.09909964383930546,0.16204710437389766,0.10525774885392009,0.14197375173539656,0.15701496654138564,0.14492431882228654,0.07047127950580027,0.0974268932073677,0.14810017275216936,0.1514714877142692,0.09206128621813181,0.10042996087304885,0.07867171282262884,0.12473201150824567,0.08227601407823003,0.11635890167845857,0.11398388289299252,0.1321072593049879,0.15779802660969844,0.14505967364991254,0.10630930120592912,0.1133360345567517,0.09885285527869088,0.10588777331049741,0.07540056910368241,0.13489957476713466,0.09207939157999734,0.11006418351613759,0.15529316395635395,0.10684384155125931,0.1627150489161515,0.16249462397375977,0.13157683185332258,0.09474268662867916,0.16192670934969758,0.1630644079450036,0.13756812449549136,0.1435508132977171,0.13466697629439478,0.10879225097214239,0.08678563542860399,0.14867778158911713,0.11477894526598721,0.07357799469058282,0.17014308415939286,0.09999497664249743,0.12552756211354044,0.14529876133132802,0.17228837574548897,0.0986247410010891,0.09827260524773195,0.10352037093762934,0.08418872351100071,0.0731050977438247,0.1649594086374655,0.11783439363057742,0.14974396598401105,0.09232273403361518]"
Ron Hainsey,"[0.14696503309498737,0.0993929488110315,0.14417802455962336,0.11646064402823712,0.1430438026515421,0.09861631100648122,0.09923341281838167,0.16181732610295657,0.10542307464622512,0.14193106373170816,0.1568354112714474,0.14480970493027753,0.07061435317816826,0.09760177233409575,0.1482276363012466,0.15136160382016925,0.09191651962702296,0.10081169184093348,0.07878789993500013,0.1243165905975382,0.08248689299389544,0.11615847102638917,0.11378668963218316,0.13217854006114566,0.15752286309751265,0.1454101350651575,0.10639557748293789,0.11343274088941135,0.09882416549036774,0.10589104941253837,0.07565057326514167,0.13488339594051782,0.09219168650202823,0.11042289019778573,0.15525729127494897,0.10697985530889739,0.16284075487206723,0.16228028488649932,0.13123651405316863,0.09480571222176802,0.16185306381254086,0.16300562308429245,0.13749225134366652,0.14319587113357826,0.1342692789379301,0.1083227308003808,0.08716779188325588,0.14855595379454467,0.11478339267782055,0.07369310790908133,0.1698646699786703,0.09995544283875936,0.12564912215183735,0.14526349327525892,0.17218034839812982,0.09896132974938972,0.09847362310780526,0.10334266355552883,0.0845903608924259,0.07333401125072798,0.1650610210778132,0.11802935363053293,0.14957596466960563,0.09248869813508634]"
Jaccob Slavin,"[0.14706640017682035,0.0992383972056361,0.14412344218860615,0.11635337388775635,0.14298811335749245,0.09827634538518533,0.09910786159914114,0.16188658698130026,0.1053097524503106,0.14197686585682906,0.15690300851301942,0.1449015833349931,0.07047976335132257,0.09744081274047815,0.14819723246236324,0.15136867376671292,0.09196466527000624,0.1005975916980245,0.07866815098453404,0.1245334410516439,0.08234381730105728,0.11621461492112027,0.11384735580891055,0.13220919703157233,0.1577387082355597,0.14526528478485756,0.10631112739156302,0.113364770829196,0.09888103820656279,0.10585211215755608,0.07543470503151958,0.13494320367778165,0.09215333869348781,0.11023959628865433,0.15531586452685228,0.10692449821298848,0.16282028483062486,0.1623725802294447,0.13140611863541293,0.0947742152613886,0.16198265077717483,0.16304644419951436,0.1374487960282974,0.14337719539466418,0.13442877409076903,0.10855238564979854,0.08688337805658573,0.1486555306327486,0.11476318405479513,0.07357404118735579,0.169962659253685,0.10000540240662646,0.12555285559412319,0.14535997595812145,0.17229956817455108,0.09875827569942755,0.09834429387894476,0.10342314100468526,0.0843434718906433,0.07320278401010356,0.16503126371475088,0.11798012874769213,0.1497164473302782,0.09243707751721315]"
Eric Staal,"[0.14699945993114563,0.09915256622638723,0.144048899813739,0.11637574685731203,0.14288611869869897,0.09816668262085221,0.09908879621293123,0.16199765362724566,0.1052607892434427,0.14197005290492623,0.15698969242301886,0.1449283113744558,0.07045718924253278,0.0974112704604524,0.14812018642234506,0.15144143566758334,0.0920215003999914,0.1004515157835494,0.07864797550252378,0.12469537245216616,0.08228445448041133,0.11632051607101285,0.11395340522789947,0.13214351111805434,0.15782296189971806,0.14509397466364365,0.10629738769679795,0.11332882610413963,0.09886852404769098,0.10587584513859132,0.07538040599836981,0.13491850935066477,0.09209678713190657,0.11009059597425039,0.1553166232962285,0.10685629669293617,0.16273831839901162,0.16246457103177955,0.1315488983340469,0.09475336755907501,0.16196897384361075,0.16306633753217603,0.13751548391431187,0.14353578924333418,0.13461557275926872,0.10874961385878705,0.08677574050988941,0.14868785667343687,0.11476863979991081,0.07356397983121042,0.17009551779951188,0.10000834700444447,0.1255225223348788,0.1453318215055978,0.1723084808588112,0.09863719011948718,0.09828577911097067,0.10351235612643561,0.08420037999185351,0.0731216549112635,0.16497908143190673,0.1178754903283544,0.14976097855490528,0.09235418766420667]"
Victor Rask,"[0.14709198465414178,0.09889756098505892,0.14391321176406702,0.1162528563425882,0.14275365921209732,0.09761856693079196,0.098914545794457,0.16214722976704626,0.10507990728737396,0.14202830345286813,0.1571414373775277,0.14507710953063252,0.07025788780193871,0.09717754696221059,0.14802138823682354,0.15149644773933063,0.09210662539003094,0.10003904146398011,0.07847091028259773,0.1251126034323823,0.08205031110720021,0.1164728118039811,0.1141137088656728,0.13215478222514374,0.15818634967010037,0.14476491062500288,0.10616880219176245,0.1132305376363072,0.09890748835341452,0.10584572496783959,0.07504655567480366,0.13497487485412596,0.09199093067645794,0.10974608963190062,0.15539800944242116,0.10675405289530993,0.1626540735697276,0.16264341426491108,0.13186959608702853,0.09468587877999415,0.16214012295174907,0.16313032901051436,0.13747714084982324,0.1439028206811646,0.13496871935252303,0.10919959161295026,0.08631291457658062,0.14884114791358655,0.1147541809118883,0.07339336373505181,0.17031880854693154,0.10007455021502117,0.1253647146774183,0.14544199762532345,0.1724674174587046,0.09827869358355716,0.09808084166203816,0.10367457792246625,0.08377602115111774,0.0728772669498113,0.16492603038591597,0.11773006932355,0.14998693544716096,0.09222541312937124]"
Brett Pesce,"[0.14697434753549554,0.09912827461777589,0.14403570169054575,0.11638287398114014,0.14285432413904717,0.09811403538516937,0.0990738220082299,0.16204299806602876,0.10523784925250056,0.14199035996243206,0.15701787050862998,0.144946264816524,0.070440760338213,0.09739110685689283,0.14810665139741058,0.1514606718498298,0.0920649900087293,0.10039089887736091,0.07864743077945813,0.1247683575525352,0.08224526466119923,0.11635659154375311,0.1139811298016587,0.13213193381441407,0.157836103348285,0.1450487523952331,0.10628912542536234,0.11333453687651447,0.09885902330875256,0.10587459807250255,0.07535284279860517,0.1349176130932589,0.09207288701555685,0.11004645007687638,0.15530572475130902,0.10685188700132592,0.16272658887749455,0.16250133701093264,0.13159396245280447,0.09473298375772153,0.16196041490335997,0.16306828841336568,0.13754310912735088,0.14356904685718344,0.13467988613421783,0.10882091138780964,0.08673024390501269,0.1486931777324744,0.11477868394188075,0.07354583497378057,0.17014946737558095,0.10000495655068838,0.1255047142284725,0.14532743002627863,0.1723139064071854,0.09859449532286092,0.09824992683608783,0.1035188349793601,0.08415319376692848,0.07307882236139476,0.16496986365473487,0.1178342860189235,0.1497713950247784,0.0923195557495978]"
Jeff Skinner,"[0.14695840591191087,0.09917583429680783,0.14405835603205588,0.11640520089939163,0.1428800883076761,0.09821395240205798,0.0991071943520731,0.16201206959356124,0.10527245885343384,0.14197805974690758,0.15699006066493043,0.14491967300140784,0.07047747909597045,0.09743583261348207,0.1481226889963983,0.1514502222293679,0.09204388069139267,0.10046460019588857,0.07867825404732566,0.12469131622733902,0.08229019337913152,0.11632909638861316,0.11395368076578373,0.13213078580130136,0.15777378374823153,0.1451060756208695,0.10631199882683455,0.1133526910708746,0.09884886487051686,0.10588173080046094,0.07541448884464978,0.13490530546962665,0.09209105985453574,0.11010921603675271,0.1552926440969881,0.10687087981601583,0.16273999232739372,0.16246706443354456,0.13153463937367568,0.09474525780886782,0.1619302909535764,0.1630566813012765,0.13754574095417224,0.1435061006383598,0.13461638677223312,0.10873781160980373,0.08681501587195224,0.14866600490715134,0.114781150130598,0.07357865683828345,0.170107184023336,0.09999270146079381,0.12553339905460742,0.14530705118200948,0.1722836513289985,0.09866002163554298,0.0982900666533924,0.10349075649932385,0.08423117544582603,0.07312395720670109,0.1649817478592665,0.11786112166933277,0.14973168491021108,0.09234433256198821]"
Riley Nash,"[0.147049412362166,0.09919029650358545,0.14408744775131868,0.11635277785891605,0.1429418503493836,0.09821020953244629,0.09909170530768416,0.16193490323114398,0.10528278813116208,0.14197265270442028,0.15694285711434985,0.14491714568985611,0.07046203700180662,0.0974184470579236,0.14816153157657055,0.15139886166171382,0.09198569029724188,0.10052685127949708,0.07864883925022347,0.12460941297934106,0.08231387667432853,0.11626077079876042,0.1138957211722078,0.13218219886256727,0.15779282754252277,0.1451838122599943,0.10629991222256761,0.11333991740842492,0.09888352903846748,0.10586050465478725,0.07539828514444971,0.13493694987670743,0.09213027572908535,0.11016387816761809,0.15532321837943794,0.1068871710300117,0.16278256005687203,0.1624153412648624,0.13147676810346054,0.09476722103340397,0.16198882933550277,0.16305897360549995,0.13747114456626577,0.14345868965261105,0.1345143785241955,0.1086470251540211,0.0868202287013659,0.14867804206485727,0.11476111576656507,0.07356432370217257,0.1700203545840216,0.10001169275633927,0.12553557767248755,0.1453555435999679,0.17231239002328433,0.09869431756299636,0.09831407890606267,0.10347090790527855,0.08426676703023041,0.07316484819460548,0.16500480131960077,0.11793707097499853,0.14974622222067993,0.09240224206538715]"
Noah Hanifin,"[0.1469695527575394,0.09924175602247069,0.14409779833756917,0.1164160680542901,0.1429352270293318,0.09833805925535019,0.09914356867660662,0.16194623570196764,0.10531893818636098,0.14196135480561625,0.15693811398149327,0.1448847763544931,0.07051814769106952,0.09748490157887289,0.14815828633456973,0.15141910274659964,0.0919993879122172,0.10057930805474904,0.07870837207798988,0.12456647414704702,0.0823533745058458,0.11626957500808584,0.11389724863344435,0.13214875478611904,0.15769919908392488,0.14520740824698905,0.10633685870388879,0.11337259327882138,0.0988477537038564,0.10588197643376089,0.07548572856165331,0.13490177391362557,0.09212704723161995,0.11020986505610238,0.15528604680347605,0.10690291328820656,0.16277369211984322,0.16240532643882802,0.13143915270672726,0.09476759001694779,0.16191216842585665,0.16304215013371584,0.13752372196220322,0.143407134387737,0.13449939911435815,0.10860137649095085,0.08692408545781333,0.1486347021395469,0.11477812725705146,0.07361321760863804,0.17002397862486088,0.09998408828400109,0.12556961552415752,0.14529848753784141,0.17225608837286635,0.09875558257566805,0.09834863385152279,0.10344614712545272,0.08434283354633487,0.07319379792577371,0.1650056679509538,0.11792099603578877,0.1496858498740541,0.09239500887641118]"
Elias Lindholm,"[0.14708907451622855,0.09909060268325673,0.14403635238595683,0.11630052798940499,0.14289128042308838,0.09798591994292379,0.09901916756841513,0.1619938396028377,0.10521003553463616,0.14200240333412195,0.1570029485771534,0.14498019099162096,0.07037851535497189,0.09732396370789657,0.1481245012917668,0.1514177202809318,0.09202168581948111,0.10035891439072224,0.07857792261903186,0.12477899304822006,0.08221719285890648,0.11632194793191235,0.11395962123453948,0.13219066295260767,0.1579390437828334,0.14505619833979577,0.10624659005824308,0.11330558773921794,0.09889574864811414,0.10584637667727072,0.07526275707458763,0.13496020009759702,0.09208661607693368,0.11002812803127027,0.15535419549589538,0.10685103824360082,0.1627520501366897,0.1624875043690988,0.1316026655993795,0.09473581746323817,0.16205769006150403,0.16308392256970644,0.13745174235977436,0.14360285281623325,0.13465570668740956,0.10882489135410377,0.08663234898059358,0.14874053515594116,0.1147560932666301,0.07349392952082519,0.17010943148621488,0.10003687619192018,0.1254707179732023,0.14540156617319375,0.17237677011343433,0.09855002616510593,0.09822940983115028,0.10352995969115854,0.08409753782130554,0.0730635282810545,0.16498696651662406,0.11787940371252476,0.1498373491542891,0.09235243511487183]"
Mark Giordano,"[0.14686730052443978,0.0991944412635412,0.14405073207781735,0.11646590768266982,0.1428394822283807,0.09829735012111118,0.09914451775958331,0.16206118368963932,0.10528891906156033,0.14197125756829104,0.15701153505586724,0.1448989201610952,0.070519654093388,0.09748469531094207,0.14809903881550981,0.1514885169541032,0.09208104712347506,0.10047175294656294,0.07872653504903852,0.12470041850364331,0.08230628340182765,0.1163690878428764,0.11398442550035233,0.1320779711928825,0.15771041031941363,0.14508199357949705,0.10634100049990464,0.11337049186692877,0.09881873703993538,0.10590655964373392,0.07547686474754972,0.13486925306929035,0.09207520001839828,0.1101037800323366,0.15525538223636767,0.10686136672427038,0.16271053210008568,0.16248872388583974,0.13154315831504235,0.09473928730038308,0.16185607466761645,0.16304813117694156,0.13761869527251214,0.14350104330464916,0.1346576064029657,0.10875470910769244,0.08687534118362053,0.14863716210967776,0.11479736165756198,0.07361869737190484,0.1701510241713912,0.0999677267757821,0.1255565044111966,0.14524820127142615,0.1722365508592089,0.0986772415822562,0.09829801466622018,0.10349223947054785,0.08425644758544545,0.0731267605474988,0.164961708333056,0.11781690283846956,0.14968819615750256,0.09231250510823857]"
Michael Stone,"[0.147083298274737,0.09934363812969281,0.14419257539536032,0.11636787535770822,0.14307361349914055,0.09846117251112699,0.09915940196464519,0.16178804263977214,0.10538016309321549,0.1419666738264375,0.15682161582326523,0.144854757897651,0.07053725195874117,0.09751406475752764,0.14825728901154053,0.1513155033423441,0.09190678129026707,0.10076839718010419,0.07871651437940047,0.12434867153621044,0.08243336927406882,0.11612434957024134,0.1137573280286423,0.1322415113262173,0.15761749911238204,0.1454295090532487,0.10634612442050151,0.11340616413704623,0.09887479021618117,0.10584950430125654,0.0755420318838265,0.13494019091763668,0.09220730296080216,0.11039629678242181,0.15529826896373494,0.10698272090371472,0.16288020333631725,0.1622806066212493,0.13125460504037836,0.09480053296859584,0.16195199155170448,0.1630218860438966,0.13741554381778773,0.14321457869495952,0.1342505187643518,0.10834108047334777,0.08704728543389556,0.148605485486685,0.11476276895697993,0.0736221576793381,0.16983776219214586,0.09998733369466578,0.12560579238908473,0.14534935375565147,0.1722555489038259,0.09890391147742407,0.09842554486731792,0.10334015129396996,0.08451793803315952,0.07330380699204288,0.16507292303930016,0.11807057460073174,0.14964287530841042,0.09251314903829493]"
Micheal Ferland,"[0.14698878554281566,0.0995856811209013,0.14427723412590915,0.11649300658145496,0.14318332158293762,0.09900952643650768,0.09935254200306155,0.16163006126056853,0.10557337472594056,0.1418621567938503,0.1566963740563791,0.14469713335027937,0.07074573002947557,0.09777025758294958,0.14830410651626638,0.15127714940749704,0.09176147893165609,0.1011580795292714,0.07887449920681162,0.12393906247649665,0.08270258786307545,0.11600624192860291,0.11364913505454015,0.13219945732605293,0.15732416887285627,0.1456740820616313,0.10647767043763283,0.1134808208329736,0.09881371610467517,0.10591261912098664,0.07588342615567867,0.13485399949457627,0.09229831743664887,0.11069394809707979,0.15523552152264844,0.10704280913536533,0.16290762138000972,0.16210500466563652,0.13096082931765224,0.09487784731604912,0.16179219438649667,0.16296689278625096,0.13742600702853525,0.14294024566387967,0.133943593352158,0.10792625346428021,0.08750213130366258,0.14847260671925946,0.11476401554310231,0.07382718794341156,0.169619293670589,0.09992608180366062,0.12577244728265866,0.14521638672713505,0.17208458396358864,0.09923535507629534,0.09865973634207295,0.10324157488828364,0.08492140100373316,0.0735544961302742,0.16511107354624455,0.118201612151663,0.14944175423799044,0.09264534368578643]"
Garnet Hathaway,"[0.14693773475852837,0.09932837564510918,0.14414313347750818,0.1164591068387006,0.1429818946137161,0.09851117827901959,0.09920093827759678,0.16189481053966798,0.10537756711157348,0.14194820623065382,0.15688754015075643,0.144840030559564,0.07058165345600924,0.09755958883417173,0.14819274749710873,0.15139942898409434,0.09197423423610619,0.10070601586982636,0.07876733097261514,0.12443721546537781,0.08242459701135997,0.1162196283256752,0.11384267928696218,0.13215107386461836,0.15757786368429053,0.14531525649549673,0.10637642536150847,0.11341236491387827,0.0988282707561334,0.10589123338254741,0.07559173399404177,0.1348838857349068,0.09215746574465332,0.11032512335727228,0.1552572028168002,0.10694542434741272,0.16280566908279615,0.16234595311600372,0.13133238587982032,0.09478498786267192,0.16185581767433352,0.16301901890730816,0.13753414074571368,0.14328403599159856,0.13438657009635546,0.10845662028188847,0.0870725911111067,0.14858123116344582,0.11478777142715985,0.07366421349561894,0.16995382710142812,0.09996030549365087,0.1256173572711291,0.1452640372532108,0.17220211084294187,0.0988726563985359,0.09841349168287028,0.1033851724437325,0.08448333211959651,0.07326787383568999,0.1650305738609798,0.11796509421224444,0.14961129907913046,0.09243326208367734]"
Sam Bennett,"[0.14703019061935335,0.09909493152056278,0.14402355902354477,0.11634097474214465,0.142861362233978,0.09803784356253083,0.09904438085205544,0.1620270029230068,0.10521834178805854,0.14198680448370704,0.157019739375904,0.14496295727749578,0.07040771151866237,0.09735325978476249,0.14810387568995295,0.1514483216165012,0.09204088969862503,0.10036279179204799,0.07860540651323253,0.12478479684045059,0.08222978984289168,0.11634852677906359,0.11398295124154662,0.13215214209468257,0.15790587590980684,0.1450302985289687,0.10626605839233595,0.11330592445733569,0.09888264242222111,0.10586429345906209,0.07530033592739974,0.13493673753584723,0.0920769046541456,0.11001758832046153,0.15533654103571512,0.10683549389189914,0.1627261266533863,0.16250211014409371,0.13161709502287972,0.09473838207501153,0.1620135591986996,0.16308140959369638,0.13750134034703632,0.1436112983087938,0.13468609782101162,0.10884416718311131,0.0866682441044903,0.1487245127876362,0.11476368388706468,0.07352075017315136,0.17013945225268476,0.1000252931394805,0.12548569930946446,0.14536316506369482,0.1723495838876403,0.0985572880627328,0.09823759360889327,0.10354416339682697,0.08410547878027026,0.07306756364283624,0.16496820756540043,0.11784960249791993,0.14981349322599088,0.09232956004488002]"
Curtis Lazar,"[0.14693701276817994,0.09940028411185663,0.14417767088206399,0.11647754673684334,0.14303172408321593,0.09863402475072951,0.09924262926213451,0.16183208090130344,0.10542830951457739,0.14193946472893065,0.15684332416874205,0.14481039083332634,0.0706222893007791,0.097617945432104,0.14821964398050833,0.15137069045507937,0.09192967012309364,0.10080273946069869,0.07880184727444565,0.12432696446304396,0.08248755486301151,0.11617540481350856,0.11380034343835599,0.13216549451747092,0.15750828636505115,0.14540314532407597,0.10640016717664068,0.11344474901036844,0.09880641482936572,0.10589905142573604,0.07566749382628146,0.13486961254505697,0.09218314150520288,0.11041912278035902,0.15524298434084208,0.10698093692977238,0.1628330802950434,0.16228934721803753,0.13123851085993982,0.09479647149233034,0.16182917563268187,0.1630027666065337,0.13750999213147963,0.14319744053867486,0.1342906809494947,0.1083289406408872,0.08718088508685023,0.14854945228025956,0.11479123017686696,0.07370381900010116,0.1698818351258422,0.09994381892802782,0.1256535334387373,0.14524624330801253,0.1721631896788592,0.09896130201417731,0.09847196881649636,0.10333661852001562,0.08459599602773202,0.07332854423011621,0.1650595324335974,0.1180128556214563,0.14956408007048708,0.09247713895137977]"
Travis Hamonic,"[0.14690913037790113,0.09923062400279493,0.1440773088952234,0.11645248185707589,0.1428928131685827,0.0983471325313274,0.09915631944627723,0.16199598772771834,0.10531364759187262,0.1419602857406485,0.1569688084309825,0.14488324242591274,0.0705314123636455,0.09749864336801105,0.1481306034521541,0.15145456245598837,0.0920344739258326,0.10054276947737335,0.07872764207585631,0.12461408815556743,0.08234261466171897,0.11631372900384894,0.11393544641122999,0.13211124787274386,0.15768728698134388,0.14515644466323435,0.10634573295704539,0.11337558576976563,0.09882829683224999,0.10589850976683934,0.07549934020558402,0.134880129085683,0.09210421928610922,0.11017297561013491,0.15526720147104237,0.10688626758937274,0.16274354846839625,0.16243776324019202,0.13147750530328484,0.09475751764200498,0.16187347747992487,0.16304213112838267,0.1375752643948354,0.14344035972503047,0.13456566728810215,0.10865889306857716,0.08692453158703782,0.14862690170903897,0.1147904023444782,0.07362576466882578,0.17007928308025402,0.09997219226429027,0.1255709344766647,0.14526513919080844,0.1722355783025146,0.09873383311940466,0.09833641691443169,0.1034635273967573,0.08432024845923715,0.07317200770919387,0.16498680784801562,0.11787270828083062,0.1496751854741078,0.09235638023701546]"
TJ Brodie,"[0.1468536999101522,0.09928156623165121,0.1440848539922477,0.11650218450634181,0.14289696175294392,0.09848729165664831,0.09921136199838824,0.16198422974611745,0.10535787781114497,0.14192857875888942,0.1569543016350789,0.14484255182571673,0.0705916922092083,0.09756866300688656,0.14812579933953537,0.151466110905853,0.09201431440284567,0.10062102797189164,0.0787741459019688,0.12453746527022273,0.08240436342806438,0.1163068048638683,0.1139291558670241,0.13207961588909448,0.1576100700143101,0.14518531196151493,0.10638382836205602,0.11339108900751284,0.09880699711798774,0.10592315612734718,0.0755907796375272,0.1348475235823383,0.09211506329780443,0.11022420908163552,0.15524545560213074,0.10688981490521682,0.1627312659264009,0.16241180696715157,0.13142857638123873,0.09477493425661132,0.16181519212789033,0.16302945598359223,0.13760638086536744,0.14339374819001977,0.134524361462081,0.1085895441390589,0.0870363121907485,0.14859048610294442,0.11479514062452122,0.07368411820600969,0.17005461559899107,0.09995286012265295,0.12561275883221068,0.14521535231838778,0.17218440459175438,0.09880462601234555,0.09838856629381593,0.1034545355650244,0.0844045916847948,0.07322430917612735,0.164984976411889,0.11787992082638564,0.14962193741840252,0.09236927415518473]"
